,distance,times,f_bl,lat,lon,mag,summ
2433,0.0000506,0.000000456,0.0000000000231,53.791,161.594,5.535,-10.6371302184944
2280,0.00313580329266976,0.0000000326,0.000000000102,53.885,161.699,5.11,-9.99084355689924
2110,0.00436292797623179,0.0000000292,0.000000000127,52.132,159.529,5.8,-9.89511118631988
1707,0.013712478743257,0.000000011,0.00000000015,55.124,162.458,4.94,-9.82257983345236
2358,0.00273817308388378,0.0000000917,0.000000000251,53.972,161.909,6.1,-9.60006275827831
214,0.0556844668046741,0.00000000454,0.000000000253,51.1589,160.8833,5.195,-9.59749530494399
2251,0.0317114830482056,0.00000000836,0.000000000265,53.926,161.791,5.025,-9.5766533859943
2463,0.11558228967385,0.00000000268,0.000000000309,53.918,161.922,5.11,-9.50975944256056
1638,0.0244247453363654,0.000000013,0.000000000318,52.871,160.105,5.8,-9.49690719576013
310,0.15378666256672,0.00000000228,0.00000000035,54.6432,163.1002,5.11,-9.45548711457039
1956,0.0472881259614526,0.00000000744,0.000000000352,52.631,160.214,6.4,-9.45373343762045
1242,0.141444230856007,0.00000000261,0.000000000369,52.99,159.794,5.6,-9.43297033964985
1099,0.219522351928413,0.00000000172,0.000000000377,52.34,160.065,6.1,-9.42313865453914
1693,0.0255609217930165,0.0000000149,0.000000000381,52.293,159.61,5.025,-9.41855638302586
2695,0.115471912133068,0.00000000358,0.000000000414,53.991,159.264,5.195,-9.38332845457423
1067,0.00194137704037013,0.000000223,0.000000000433,52.174,160.345,4.855,-9.36337176887301
1074,0.0162794996535406,0.000000029,0.000000000472,52.355,160.006,5.28,-9.3258879972542
565,0.043926318473375,0.0000000108,0.000000000476,55.3439,164.5099,6.1,-9.32210132052104
1088,0.0126206001828325,0.0000000399,0.000000000504,52.2,160.304,4.77,-9.29744536637578
2111,0.0130973373829966,0.0000000428,0.000000000561,52.132,159.529,5.8,-9.25133968818619
2435,0.399314957320673,0.00000000141,0.000000000563,53.955,161.474,5.28,-9.24946549348347
2217,0.424953676868747,0.00000000151,0.000000000643,53.922,161.776,5.2,-9.19148289878843
2441,0.00627477460050898,0.000000108,0.000000000681,53.792,161.596,5.705,-9.16705793615706
2397,0.0849312095899271,0.00000000826,0.000000000701,53.734,161.57,5.8,-9.15408377235486
1100,0.0770178622950265,0.00000000925,0.000000000712,52.218,160.181,5.195,-9.14735882865771
2700,0.0215568995331302,0.0000000333,0.000000000719,53.974,159.296,5.3,-9.14334427535563
1944,1.35570086324336,0.000000000582,0.000000000788,52.549,160.563,4.77,-9.10328272336621
2176,0.272275266119224,0.00000000291,0.000000000794,52.348,159.578,5.535,-9.10043542369883
2257,0.0294152562744153,0.0000000274,0.000000000806,55.257,161.954,4.77,-9.09373910375382
1086,0.0433250917304222,0.0000000186,0.000000000807,52.26,160.22,5.28,-9.09309828367351
2424,0.0254134701879023,0.0000000326,0.000000000829,53.748,161.732,5.025,-9.08145718596964
1064,0.0278988939311124,0.0000000309,0.000000000862,52.17,160.288,4.77,-9.06437011310489
2302,0.953472453768466,0.000000000914,0.000000000871,54.658,162.882,6.2,-9.05995090074707
1711,0.0602565239370432,0.0000000155,0.000000000932,55.161,162.592,4.855,-9.03052565618556
1712,0.000289063314446848,0.00000328,0.000000000947,55.029,162.609,4.855,-9.02378863177149
1149,0.033190275163764,0.0000000289,0.000000000958,50.958,157.408,6.5,-9.01858646167054
