,distance,times,f_bl,lat,lon,mag,summ
2433,0.00437901463776405,0.0000394,0.0043215154202632,53.791,161.594,5.535,-2.35862359694633
1712,0.0144624868827618,0.000163858279379115,0.0148170744176065,55.029,162.609,4.855,-1.83975658181013
1102,0.0324956893015461,0.00054688260082083,0.030284993843791,52.319,160.315,5.62,-1.48815788356579
1047,0.0343296970465937,0.000514922502280607,0.0394257980621977,52.368,160.485,4.77,-1.46431637074479
2378,0.046450996890754,0.000455835249677646,0.030279925874744,53.85,161.96,5.28,-1.3329954857245
2382,0.049644561017374,0.00229012199806967,0.139539445927927,55.078,162.545,5.2,-1.30292675392791
1960,0.0548817180937455,0.000891182142166346,0.0353894448493939,52.591,160.324,6.5,-1.26050149483211
1114,0.0575406048799433,0.000397854684336569,0.0291066619909972,52.244,160.324,5.195,-1.24001927692402
2498,0.0582713896898057,0.000104733365770961,0.0199216075133597,53.965,161.486,4.94,-1.23454450955154
1098,0.0647322699691233,0.000546062077326507,0.0308355776538188,52.346,160.063,5.7,-1.18886287409374
1011,0.0694829921001974,0.0029843885260339,0.198812907055093,52.409,160.54,4.94,-1.15546235687251
2401,0.0801378487293232,0.0000615,0.0243028528886454,53.938,161.438,4.77,-1.09616229689921
1112,0.0924401908560631,0.000325881338345874,0.033145837169684,52.251,160.346,4.855,-1.03413570432857
2422,0.0961544589160622,0.0003641669909023,0.0352979709435045,53.742,161.728,4.855,-1.01702574024048
1067,0.0971314538289872,0.0000112,0.0252059666201399,52.174,160.345,4.855,-1.01264011071137
2416,0.0995012924904334,0.00146209987964508,0.101345458400382,53.9,161.846,4.9,-1.00185859448251
1959,0.11094279340458,0.00115014929901856,0.0732191488710169,52.609,160.478,5.2,-0.954748695711991
1828,0.112881186321996,0.000601371045066637,0.035241426749064,52.326,160.306,5.705,-0.947356677911915
2314,0.117470569356326,0.00107692351158785,0.0810291914516378,53.925,161.646,4.77,-0.929945978606094
1838,0.117485823210705,0.00102429928222982,0.0615592955510884,52.253,160.398,5.4,-0.929907024370788
2508,0.125944026901059,0.000241176087654135,0.0344394568121798,54.061,161.499,4.77,-0.899821021411198
1091,0.126286094824279,0.000529083378671521,0.0327262278137197,52.346,160.063,5.7,-0.898629649823259
1118,0.130225887617717,0.00113534405979781,0.0731059563877536,52.246,160.316,5.195,-0.885156268656074
1107,0.133371171387455,0.000187456115230218,0.029602870668142,52.33,160.12,5.025,-0.874937375459894
586,0.140217509334263,0.000171719669931078,0.0286129636313995,54.9045,164.3986,5.11,-0.853197244909702
1088,0.140336489749125,0.0000555,0.0292111823969281,52.214,160.321,4.94,-0.852829373664193
1085,0.147028366417638,0.000698933749557466,0.0549998656537106,52.268,160.218,4.94,-0.832564710882529
2410,0.147945281687137,0.0000872,0.0316581310453989,53.965,161.416,4.855,-0.829898814605516
1087,0.155762118738692,0.000112924628746923,0.0328222318854838,52.192,160.301,4.855,-0.807538009941684
2398,0.161679949169627,0.00069755488255092,0.0486792514145894,53.934,161.713,5.28,-0.791309880631566
1414,0.163542641760511,0.000581719985237014,0.047931142258187,53.771,161.13,5.025,-0.786349298048905
1090,0.183747118556367,0.0000745,0.0251408547307124,52.254,160.268,5.5,-0.735779421171784
2437,0.184262213853601,0.0000282,0.0318272461488151,53.748,161.732,5.025,-0.734563712989713
1714,0.190280199601659,0.000172399144759209,0.0371739162934281,55.029,162.609,4.855,-0.720605889081691
2280,0.192685401286653,0.000002,0.031094094798587,53.885,161.699,5.11,-0.71515118820219
2355,0.193474177697561,0.000112004607268581,0.0257198787560973,53.98,161.92,5.535,-0.713376849933014
2453,0.193646534812244,0.000190040491764818,0.0395013592545807,53.938,161.438,4.77,-0.712989583432603
1826,0.199766851554648,0.00140006018824485,0.0874429625366608,52.221,160.593,5.28,-0.699202029908907
1054,0.210055163773949,0.000393574567357237,0.0407286312341437,52.291,160.482,5.11,-0.677660538812967
1833,0.211396785027867,0.000157450734021098,0.0370659489588059,52.334,160.308,4.94,-0.674901231343159
66,0.218987200361417,0.0000537,0.0279543682339222,52.8622,160.1796,5.45,-0.659581253094914
1086,0.233752794131134,0.0000676,0.0282242933476371,52.254,160.268,5.5,-0.631243158275872
2477,0.238879527416319,0.000125072856597596,0.0422146177086021,53.867,161.619,4.77,-0.621820873065608
1113,0.241639261008094,0.000448495440904843,0.0521331557393385,52.129,160.29,4.77,-0.616823476107334
1074,0.248121247214367,0.000464399811256934,0.0351538686011999,52.346,160.063,5.7,-0.605326024876536
2426,0.25589576284989,0.000141145922678666,0.0402342225156278,54.945,162.614,4.94,-0.591936623843144
2572,0.263101474508606,0.000321904436326189,0.0367815314436977,52.559,158.92,5.365,-0.579873380988619
2669,0.271039765341501,0.000270254788256752,0.0422803587629626,51.688,159.226,5.025,-0.566965012681971
2407,0.272393525529187,0.000469738713842121,0.0509801716855008,53.961,161.727,4.94,-0.564792850160782
